行政區,街路名稱,起迄地點,地段率%,,,
東區、南區、北區、安平區、中西區,開南街,121、143巷,120,,,
東區、南區、北區、安平區、中西區,開南街,巷全部（121、143巷除外）,110,,,
東區、南區、北區、安平區、中西區,開山路,路全部,150,,,
東區、南區、北區、安平區、中西區,開山路,巷全部,130,,,
東區、南區、北區、安平區、中西區,華平路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,勝利路,東門城~東寧路,140,,,
東區、南區、北區、安平區、中西區,勝利路,東寧路~大學路,150,,,
東區、南區、北區、安平區、中西區,勝利路,大學路~開元路,140,,,
東區、南區、北區、安平區、中西區,勝利路,巷：東門城-東豐路,120,,,
東區、南區、北區、安平區、中西區,勝利路,巷：東豐路-開元路,110,,,
東區、南區、北區、安平區、中西區,富德街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,富北街,路全部,130,,,
東區、南區、北區、安平區、中西區,富北街,巷全部,120,,,
東區、南區、北區、安平區、中西區,富農街一段,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,富農街二段,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,富強一街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,富強二街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,富強三街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,湖美街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,新義南路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,新和路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,新和一路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,新和二路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,新和橫路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,新平路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,新樂路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,新濱路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,新建路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,新都路,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,新港路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,新樓街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,運河路,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,慈聖街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,慈音街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,聖南街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,裕民街,成功路-34巷,140,,,
東區、南區、北區、安平區、中西區,裕民街,34巷-末點,120,,,
東區、南區、北區、安平區、中西區,裕農路,路全部,130,,,
東區、南區、北區、安平區、中西區,裕農路,巷全部,110,,,
東區、南區、北區、安平區、中西區,裕農一~六街,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,裕豐街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,裕忠路,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,裕忠一-三街,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,裕孝路,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,裕孝一-三街,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,裕信路,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,裕信一-六街,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,裕義路,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,裕和路,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,裕和一-五街,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,裕平路,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,衛國街,1號-47號 、2號-104號,130,,,
東區、南區、北區、安平區、中西區,衛國街,巷（1號-47號）,130,,,
東區、南區、北區、安平區、中西區,衛國街,巷（2號-106號）,120,,,
東區、南區、北區、安平區、中西區,衛國街,巷（除各巷1號-47號）（2號-106號）,110,,,
東區、南區、北區、安平區、中西區,衛民街,路全部,140,,,
東區、南區、北區、安平區、中西區,衛民街,巷全部,130,,,
東區、南區、北區、安平區、中西區,慶中街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,慶東街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,慶平路,路全部,130,,,
東區、南區、北區、安平區、中西區,慶平路,巷全部,120,,,
東區、南區、北區、安平區、中西區,慶南街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,德興路,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,德高街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,德東街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,德南街,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,德光街,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,德昌路,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,廣慈街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,賢北街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,賢南街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,興華街,路全部,150,,,
東區、南區、北區、安平區、中西區,興華街,巷全部,130,,,
東區、南區、北區、安平區、中西區,興昌路,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,興中街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,興南街,全部（路含巷）,100,,,
東區、南區、北區、安平區、中西區,興隆路,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,樹林街一段,路全部,120,,,
東區、南區、北區、安平區、中西區,樹林街一段,巷全部,120,,,
東區、南區、北區、安平區、中西區,樹林街二段,路全部,120,,,
東區、南區、北區、安平區、中西區,樹林街二段,巷全部,110,,,
東區、南區、北區、安平區、中西區,大學路西段,路全部,140,,,
東區、南區、北區、安平區、中西區,大學路西段,巷全部,120,,,
東區、南區、北區、安平區、中西區,大林路,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,大港街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,大興街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,大武街,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,大平路,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,大和路,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,三官路,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,三和街,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,小東路,路全部,130,,,
東區、南區、北區、安平區、中西區,小東路,巷全部,110,,,
東區、南區、北區、安平區、中西區,小北路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,中正路,民生綠園-忠義路,170,,,
東區、南區、北區、安平區、中西區,中正路,忠義路-海安路,200,,,
東區、南區、北區、安平區、中西區,中正路,海安路-康樂街,180,,,
東區、南區、北區、安平區、中西區,中正路,康樂街-終點,140,,,
東區、南區、北區、安平區、中西區,中正路,352號-352~27號 343號343~26號,140,,,
東區、南區、北區、安平區、中西區,中正路,193、199、209、217、273、283巷,170,,,
東區、南區、北區、安平區、中西區,中正路,巷全部(193、199、209、217、273、283巷除外),140,,,
東區、南區、北區、安平區、中西區,中山路,路全部,170,,,
東區、南區、北區、安平區、中西區,中山路,8、79、82巷,140,,,
東區、南區、北區、安平區、中西區,中華東路一段,路全部,130,,,
東區、南區、北區、安平區、中西區,中華東路一段,巷全部,110,,,
東區、南區、北區、安平區、中西區,中華東路二段,路全部,140,,,
東區、南區、北區、安平區、中西區,中華東路二段,巷全部,110,,,
東區、南區、北區、安平區、中西區,中華東路三段,起點至399巷（單號）,140,,,
東區、南區、北區、安平區、中西區,公園北路,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,公園南路,路（北門路二段至西門路）,120,,,
